date,year,month,day,NOM_ENT,NOM_MUN,KEY,newspaper,keyword,text
2024-05-03,2024,5,3,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,jiutepec morelos viernes de mayo de en el decimo octavo dia de campana el candidato de morena la presidencia municipal de jiutepec david ortiz se comprometio trabajar para acercar opciones de empleo formal favor de los jiutepequenses lo anterior para contribuir la economia familiar el morenista compartio durante su recorrido por calles del centro de poblacion que se dara continuidad las de reclutamiento masivo asimismo las ferias del empleo organizadas con la iniciativa privada instancias gubernamentales david ortiz dijo que tambien se buscara un acercamiento con el consejo directivo de procivac fin de que las empresas establecidas en la zona industrial privilegien la contratacion de poblacion jiutepequense asi como de los jovenes que egresan de la upemor david ortiz estuvo acompanado por melissa montes de oca candidata diputada local por el distrito los aspirantes asumieron el compromiso de gestionar recursos economicos que permitan hacer obras accione de corte social en la lopez portillo este viernes la campana continuara con la tradicional caminata en el caso especifico sera en la colonia lomas de jiutepec iniciando las horas en la calle jose maria morelos culminando en la calle ignacio zaragoza frente la ayudantia
2024-05-02,2024,5,2,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,instalaremos un centro de atencion para animales de compania david ortiz jiutepec morelos jueves de mayo de rafa reyes david ortiz candidatos de morena la diputacion local por el sexto distrito  presidente municipal de jiutepec hicieron compromisos con los habitantes de las colonias bugambilias el eden en el decimo septimo dia de campana acompanados de la marea guinda los morenistas caminaron las calles de los centros de poblacion para dar su palabra los vecinos sobre las acciones que llevaran cabo una vez que la voluntad popular les de el triunfo en las urnas el proximo dos de junio rafa reyes dijo que primeramente se tendra que trabajar para reivindicar la figura del legislador impulsando una nueva era en el congreso una etapa de respuestas para los morelenses la cual debera estar basada en reducir las brechas de la desigualdad el candidato ocupar un escano en el poder legislagico del estado de morelos aseguro que la agenda tiene que apuntar en como atender los cinco ejes del bienestar familiar seguridad empleo salud educacion alimentacion david ortiz hizo el compromiso de instalar un centro de atencion para los animales de compania perros gatos espacio publico que estara destinado la esterilizacion asi como la aplicacion de vacunas antirrabicas para las mascotas el aspirante ocupar la alcaldia entre el uno de enero de el de diciembre de ratifico sus compromisos en materia de funciones servicios publicos para que continuen siendo de calidad en favor de los jiutepequenses en seguimiento su campana el abanderado guinda invito la ciudadania de jiutepec acompanarlo la tarde de este jueves en la caminata que se realizara en la colonia jose lopez portillo en donde estara acompanado de la candidata melissa montes de oca
2024-04-30,2024,4,30,MORELOS,EMILIANO ZAPATA,17_8,eltxoromatutino.com,Morena,jiutepec morelos martes de abril de los candidatos de morena la diputacion local por el sexto distrito  la presidencia municipal de jiutepec rafa reyes david ortiz respectivamente se comprometieron rehabilitar el espacio deportivo ubicado en la colonia moctezuma en el decimo quinto dia de campana los morenistas recorrieron las calles de las colonias lazaro cardenas moctezuma asi como de la unidad habitacional arcos de jiutepec para presentar sus propuestas para legislar gobernar favor de los jiutepequenses al termino de la caminata rafa reyes aseguro que desde el congreso del estado de morelos habra de gestionar los recursos economicos necesarios para el mejoramiento del espacio publico destinado la actividad fisica el deporte la recreacion de la poblacion david ortiz aseguro que junto con el candidato diputado se hizo el compromiso para destinar recursos fin de realizar un centro deportivo en lo que son los campos de futbol la moctezuma el abanderado aseguro que ya se cuenta con certeza juridica para la inversion el candidato alcalde de jiutepec compartio otras propuestas entre las que destacaron el programa permanente de bacheo de vialidades la entrega de paquetes de utiles escolares para estudiantes de primaria secundaria entre otras la tarde de este martes de abril david ortiz melissa montes de oca recorreran las colonias esmeralda emiliano zapata francisco villa con el objetivo de presentar sus propuestas de trabajo para convencer al electorado que son la opcion mas viable
2024-04-30,2024,4,30,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,jiutepec morelos martes de abril de los candidatos de morena la diputacion local por el sexto distrito  la presidencia municipal de jiutepec rafa reyes david ortiz respectivamente se comprometieron rehabilitar el espacio deportivo ubicado en la colonia moctezuma en el decimo quinto dia de campana los morenistas recorrieron las calles de las colonias lazaro cardenas moctezuma asi como de la unidad habitacional arcos de jiutepec para presentar sus propuestas para legislar gobernar favor de los jiutepequenses al termino de la caminata rafa reyes aseguro que desde el congreso del estado de morelos habra de gestionar los recursos economicos necesarios para el mejoramiento del espacio publico destinado la actividad fisica el deporte la recreacion de la poblacion david ortiz aseguro que junto con el candidato diputado se hizo el compromiso para destinar recursos fin de realizar un centro deportivo en lo que son los campos de futbol la moctezuma el abanderado aseguro que ya se cuenta con certeza juridica para la inversion el candidato alcalde de jiutepec compartio otras propuestas entre las que destacaron el programa permanente de bacheo de vialidades la entrega de paquetes de utiles escolares para estudiantes de primaria secundaria entre otras la tarde de este martes de abril david ortiz melissa montes de oca recorreran las colonias esmeralda emiliano zapata francisco villa con el objetivo de presentar sus propuestas de trabajo para convencer al electorado que son la opcion mas viable
2024-04-29,2024,4,29,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,ire al congreso defender los intereses de jiutepec rafa reyes mantendremos un programa permanente de bacheo david ortiz jiutepec morelos lunes de abril de habitantes de las colonias huizachera la laja villa santiago joya del agua determinaron sumarse los proyectos que encabezan los candidatos de morena la diputacion local por el sexto distrito  la presidencia municipal de jiutepec rafa reyes david ortiz respectivamente en el decimo cuarto dia de campana los abanderados morenistas caminaron la tarde del domingo de abril las calles de los centros de poblacion para presentar sus propuestas desarrollar en el congreso del estado de morelos asi como en el presidencia municipal de jiutepec posterior al recorrido rafa reyes david ortiz encabezaron un mitin politico en donde compartieron con la poblacion la importancia de continuar transformando al territorio partir de proyectos viables construidos con la conviccion de no mentir no robar tampoco traicionar al pueblo rafa reyes inicio su intervencion diciendo que ira al congreso defender los intereses de jiutepec el candidato diputado local aseguro que habra de generar las condiciones desde ese poder publico para alcanzar el objetivo de bienestar para la gente asi disminuir las brechas de la desigualdad david ortiz se comprometio mantener un programa permanente de bacheo esto con el objetivo de ofrecer vialidades mas seguras eficientes para la poblacion asi como para quienes transitan por la demarcacion atendiendo con ello una de las necesidades mas apremiantes el aspirante la alcaldia de jiutepec agradecio la compania de las cientos de personas presentes reconociendo el trabajo diario en unidad que se realiza para que la cuarta transformacion continue se pueda materializar la construccion del segundo piso encabezado por la dra claudia sheinbaum la tarde de este lunes de abril rafa reyes david ortiz caminaran las calles de las colonias lazaro cardenas moctezuma concluiran con un asamblea informativa en la unidad habitacional arcos de jiutepec en donde expondran sus propuestas para contribuir al desarrollo de jiutepec
2024-04-28,2024,4,28,MORELOS,YAUTEPEC,17_29,eltxoromatutino.com,Morena,jiutepec morelos domingo de abril de ante mas de mil quinientas mujeres de diferentes sectores de la sociedad civil organizada del municipio los candidatos de morena la diputacion local por el sexto distrito  la presidencia municipal de jiutepec rafa reyes david ortiz respectivamente refrendaron su compromiso en favor de las mujeres por invitacion del frente latinoamericano por la participacion de las mujeres los morenistas suscribieron un proyecto elaborado por especialistas en ciencias sociales politicas economia derecho asi como activistas feministas mediante el cual se plantea una agenda para atender las necesidades de las mujeres del territorio rafa reyes david ortiz se comprometieron promover una vida libre de violencia ademas reducir las brechas de la desigualdad entre hombres mujeres asimismo contribuir desde el ambito de su competencia garantizar la inclusion asimismo la representacion de las mujeres en la esfera publica por cuanto la agenda municipal se propone la integracion de la perspectiva de genero en el aparato institucional el fortalecimiento financiamiento adecuado de la instancia municipal de la mujer la atencion la violencia de genero el impulso al desarrollo economico de las mujeres la vida libre de discriminacion entre otros en lo que respecta los acuerdos en materia legislativa estan la colaboracion para una legislacion progresista la proteccion de grupos vulnerables la sensibilidad de genero en los presupuestos publicos la autonomia desarrollo economico de la mujeres la legislacion contra el acoso sexual entre otros en la firma de los compromisos en favor de las mujeres participo martha melissa montes de oca montoya candidata de morena la diputacion local por el distrito demarcacion que incluye diferentes centros de poblacion del municipio de jiutepec que tiene cabecera en el municipio de yautepec este domingo de abril los candidatos rafa reyes david ortiz llevaran sus propuestas las colonias joya del agua la laja asi como huizachera tal como ha ocurrido en los dias de campana previos los abanderados guindas caminaran las calles de los centros de poblacion concluiran con un mitin politico
2024-04-28,2024,4,28,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,jiutepec morelos domingo de abril de ante mas de mil quinientas mujeres de diferentes sectores de la sociedad civil organizada del municipio los candidatos de morena la diputacion local por el sexto distrito  la presidencia municipal de jiutepec rafa reyes david ortiz respectivamente refrendaron su compromiso en favor de las mujeres por invitacion del frente latinoamericano por la participacion de las mujeres los morenistas suscribieron un proyecto elaborado por especialistas en ciencias sociales politicas economia derecho asi como activistas feministas mediante el cual se plantea una agenda para atender las necesidades de las mujeres del territorio rafa reyes david ortiz se comprometieron promover una vida libre de violencia ademas reducir las brechas de la desigualdad entre hombres mujeres asimismo contribuir desde el ambito de su competencia garantizar la inclusion asimismo la representacion de las mujeres en la esfera publica por cuanto la agenda municipal se propone la integracion de la perspectiva de genero en el aparato institucional el fortalecimiento financiamiento adecuado de la instancia municipal de la mujer la atencion la violencia de genero el impulso al desarrollo economico de las mujeres la vida libre de discriminacion entre otros en lo que respecta los acuerdos en materia legislativa estan la colaboracion para una legislacion progresista la proteccion de grupos vulnerables la sensibilidad de genero en los presupuestos publicos la autonomia desarrollo economico de la mujeres la legislacion contra el acoso sexual entre otros en la firma de los compromisos en favor de las mujeres participo martha melissa montes de oca montoya candidata de morena la diputacion local por el distrito demarcacion que incluye diferentes centros de poblacion del municipio de jiutepec que tiene cabecera en el municipio de yautepec este domingo de abril los candidatos rafa reyes david ortiz llevaran sus propuestas las colonias joya del agua la laja asi como huizachera tal como ha ocurrido en los dias de campana previos los abanderados guindas caminaran las calles de los centros de poblacion concluiran con un mitin politico
2024-04-25,2024,4,25,MORELOS,CUERNAVACA,17_7,eltxoromatutino.com,Morena,cuernavaca morelos de abril del el ing gabriel moreno bruno candidato unico la presidencia municipal de tlaltizapan por la coalicion seguiremos haciendo historia en morelos acompanado de juan angel flores bustamante candidato diputado federal por el iv distrito de morelos por morena por la tarde de este miercoles recorrieron casa por casa en la colonia cuauhtemoc el cerrito durante el recorrido los vecinos del cerrito salian de sus casas con mucha alegria saludar los candidatos externando su apoyo para defender la continuidad de la transformacion de nuestro pais estado municipio el recorrido concluyo con una reunion informativa en la calle donde se encuentra la ayudantia municipal donde expuso sus propuestas como son la continuidad de los apoyos sociales la creacion de la casa del adulto mayor la casa de la mujer finalmente el candidato de la coalicion seguiremos haciendo historia en morelos gabriel moreno bruno hizo el llamado defender esta transformacion el proximo de junio votando por los partidos que hoy representan esta lucha morena nueva alianza pes mas
2024-04-24,2024,4,24,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,jiutepec morelos miercoles de abril de el candidato de morena la presidencia municipal de jiutepec david ortiz hizo el compromiso de seguir ampliando la red de alumbrado publico para que llegue la luz las comunidades del territorio en donde hace falta en el noveno dia de campana el morenista estuvo acompanado por la marea guinda con quien recorrio las calles de las colonias ampliacion calera chica calera chica ubicadas al sur de jiutepec para presentar sus propuestas de gobierno posterior la caminata por calles de los referidos centros de poblacion david ortiz encabezo un mitin politico en donde aseguro que la poblacion de las colonias le expreso su apoyo los proyectos que encabezan las los candidatos de morena david ortiz enumero las diferentes acciones realizar en el trienio entre las cuales destacan la recoleccion gratuita de basura generada en casa habitacion la entrega de utiles escolares para estudiantes de primaria secundaria el candidato de morena la alcaldia de jiutepec agrego que tambien se conformara un padron de personas de escasos recursos para que puedan acceder despensas que se otorgaran desde el sistema para el desarrollo integral de la familia dif jiutepec en las actividades vespertinas participo melissa montes de oca candidata diputada local por el distrito quien compartio que en sus visitas las colonias de jiutepec la gente tiene claridad sobre el mejor proyecto el de la cuarta transformacion la tarde de este miercoles de abril los candidatos rafa reyes david ortiz realizaran campana en las colonias deportiva oriental en el pueblo de tejalpa las actividades iniciaran hacia las horas con la caminata terminaran con el tradicional mitin
2024-04-18,2024,4,18,MORELOS,JIUTEPEC,17_11,eltxoromatutino.com,Morena,no endeudar como lo hicieron otros rafa reyes utiles escolares gratuitos david ortiz jiutepec morelos jueves de abril de en el tercer dia de campana habitantes de las colonias tlahuapan constitucion refrendaron su apoyo rafa reyes  david ortiz candidatos de morena la diputacion por el sexto distrito local  presidente municipal de jiutepec respectivamente rafa reyes david ortiz caminaron las calles de los centros de poblacion para tocar las puertas de las de los vecinos asi como de comerciantes establecidos para solicitar el voto el proximo domingo dos de junio fecha en la que se llevaran cabo las elecciones posterior al recorrido los abanderados de morena dirigieron en un mitin mensajes la poblacion reunida en la calle jesus garcia de la colonia constitucion mediante los cuales refrendaron su compromiso con la sociedad rafa reyes dijo que se trabajara por quienes menos tienen asimismo ira al congreso del estado pero no ira endeudar como lo hicieron otros si no pelear porque los recursos lleguen jiutepec los pueblos  las comunidades el candidato de morena destaco que hechos son amores no buenas razones sostuvo que jiutepec se le quiere con acciones todos los dias trabajando en favor de la gente trabajando para disminuir las brechas de las desigualdades david ortiz se comprometio por otra parte continuar con los apoyos la economia de las familias jiutepequenses entre estos la entrega de paquetes de utiles escolares estudiantes de nivel basico en los proximos tres anos de gobierno el aspirante la reeleccion se dijo listo al igual que todas todos los candidatos de morena para arrasar la eleccion del primer domingo de junio david ortiz agradecio quienes acompanaron el recorrido les pidio ser transmisores del mensaje de la este jueves la campana de los candidatos de morena en jiutepec sera en la colonia campo morado en la unidad habitacional el texcal en donde se haran compromisos junto la abanderada de morena al distrito local melissa montes de oca
